iter	RMSE
0	0.6065508476
1	0.6027991044
2	0.599471508
3	0.596038379
4	0.5928750235
5	0.5896850469
6	0.5866108111
7	0.5838783087
8	0.5812016949
9	0.5784350151
10	0.5761335528
11	0.5736635549
12	0.5714023459
13	0.5694260019
14	0.5673234761
15	0.5652842875
16	0.5634075253
17	0.5617032932
18	0.5598657938
19	0.5580598683
20	0.5563692595
21	0.5546218051
22	0.5529586835
23	0.551463507
24	0.5501891765
25	0.5486356146
26	0.5473255956
27	0.5460117629
28	0.5448762022
29	0.5436640108
30	0.542267364
31	0.5411323486
32	0.539646027
33	0.5383292681
34	0.5369751253
35	0.5358697627
36	0.5346694296
37	0.5334777795
38	0.5324019565
39	0.5311745983
40	0.5300831625
41	0.5287894246
42	0.5276244623
43	0.5266385331
44	0.5256598694
45	0.5246699576
46	0.5235659241
47	0.5225394582
48	0.5213108325
49	0.5203858397
50	0.5196113366
51	0.5186462151
52	0.5176588675
53	0.5167612953
54	0.5157358427
55	0.5147018251
56	0.5137920784
57	0.5126688758
58	0.5117807691
59	0.5106822159
60	0.5097463777
61	0.5090371051
62	0.5081456539
63	0.507306599
64	0.5063631963
65	0.5057195904
66	0.5049532636
67	0.5041527982
68	0.5034750002
69	0.502584689
70	0.5018503056
71	0.5011639133
72	0.5004810613
73	0.4997235564
74	0.4991346271
75	0.4983560009
76	0.4977320696
77	0.4968435218
78	0.4963265786
79	0.4955931899
80	0.4949759029
81	0.4941989837
82	0.4934699778
83	0.492820866
84	0.4922118515
85	0.4916254541
86	0.4908420972
87	0.4902261267
88	0.489679015
89	0.4890538887
90	0.4882587807
91	0.4877291253
92	0.4873121633
93	0.4866015484
94	0.4859200723
95	0.4853224573
96	0.4847867611
97	0.4841796166
98	0.4837728112
99	0.4832267451
100	0.4825697363
101	0.4820987658
102	0.4813533682
103	0.4807881306
104	0.4804660506
105	0.4800459744
106	0.4794633472
107	0.4790451152
108	0.4785677427
109	0.4781402226
110	0.4777987615
111	0.4773715277
112	0.476844851
113	0.4764813904
114	0.4760715645
115	0.4755029846
116	0.4750884446
117	0.4747127909
118	0.4742171412
119	0.4737712024
120	0.47341597
121	0.4729812609
122	0.4724657254
123	0.4718981362
124	0.4714372841
125	0.471023037
126	0.4705320293
127	0.470058866
128	0.4696863045
129	0.469228548
130	0.4687609699
131	0.4682929412
132	0.4679730866
133	0.4674001071
134	0.4668842916
135	0.4664963566
136	0.4658397942
137	0.4653622043
138	0.4649035216
139	0.4646233557
140	0.4642134645
141	0.4637322912
142	0.4631064239
143	0.4627751372
144	0.4623403738
145	0.462106073
146	0.4617597605
147	0.4613429593
148	0.4609305813
149	0.4604695718
150	0.4602011796
151	0.4599233082
152	0.4596121704
153	0.4592848418
154	0.4589553016
155	0.4583493446
156	0.4577724025
157	0.4574187393
158	0.4571818996
159	0.4569261364
160	0.4566420284
161	0.4562724403
162	0.4559685327
163	0.4556253918
164	0.4553587855
165	0.45499394
166	0.454824953
167	0.4544364608
168	0.4541399933
169	0.4539444705
170	0.4536098733
171	0.4531701385
172	0.4529172982
173	0.4526251789
174	0.452287008
175	0.4520737064
176	0.451748279
177	0.451436205
178	0.451138324
179	0.4508778296
180	0.45060259
181	0.4501746623
182	0.4498426035
183	0.4495109613
184	0.4492978701
185	0.4490149674
186	0.4486799078
187	0.4484449688
188	0.4481548884
189	0.4478428998
190	0.4476710601
191	0.447404966
192	0.4472532408
193	0.4470649113
194	0.4468783804
195	0.4467228728
196	0.4465869236
197	0.4464232652
198	0.4461059098
199	0.4457748422
200	0.4455388679
201	0.4450959246
202	0.4448418737
203	0.4444176865
204	0.444228567
205	0.4439489988
206	0.4437046082
207	0.4432482997
208	0.4428719443
209	0.4426131868
210	0.4423057759
211	0.4418420139
212	0.4415954033
213	0.4413135619
214	0.441131863
215	0.4408749568
216	0.4405913385
217	0.4404374393
218	0.4398834352
219	0.4397728698
220	0.4396059457
221	0.4393786222
222	0.4390221498
223	0.4386672487
224	0.4384088808
225	0.4381420373
226	0.4379540055
227	0.4377192182
228	0.4373733075
229	0.4371604779
230	0.436828796
231	0.4364703984
232	0.4363180882
233	0.4361424424
234	0.4360125383
235	0.4355394128
236	0.4350948116
237	0.4349762237
238	0.4347844013
239	0.434553467
240	0.4342357297
241	0.4339020054
242	0.4334888668
243	0.4333131834
244	0.4331413039
245	0.432895024
246	0.4326224693
247	0.4325493475
248	0.4323936799
249	0.4322982476
250	0.4321637985
251	0.4319461412
252	0.4316402008
253	0.4315112575
254	0.4313428342
255	0.4309732539
256	0.4308535315
257	0.4306792001
258	0.4302947059
259	0.4300143466
260	0.4297975534
261	0.4294763153
262	0.4290780835
263	0.4286908541
264	0.4284556561
265	0.4281307916
266	0.4279073209
267	0.4277781977
268	0.427514641
269	0.427234761
270	0.4271227076
271	0.4269444404
272	0.4265544513
273	0.4264457258
274	0.4263365788
275	0.4259925293
276	0.4258061919
277	0.4256668424
278	0.4254920355
279	0.4252755921
280	0.4250173049
281	0.4248934623
282	0.4245896636
283	0.4243732453
284	0.4241692536
285	0.423967485
286	0.4237919411
287	0.4237084004
288	0.4235846255
289	0.4234340766
290	0.4231069974
291	0.422900266
292	0.4227158504
293	0.4225006573
294	0.4222883175
295	0.4219662626
296	0.4217447173
297	0.4216585455
298	0.4215869242
299	0.4214645356
300	0.4213397574
301	0.420930076
302	0.4206808548
303	0.4205576945
304	0.4204730757
305	0.4203966611
306	0.4201091152
307	0.4199414058
308	0.4198417075
309	0.4197911497
310	0.4196913611
311	0.4193731517
312	0.4189892259
313	0.4185508323
314	0.4181909274
315	0.4179924789
316	0.4178522399
317	0.4177670366
318	0.4174403786
319	0.4172933174
320	0.4171693582
321	0.4169921784
322	0.4167726387
323	0.4163062365
324	0.4160636343
325	0.4158920371
326	0.4157648709
327	0.4156976484
328	0.4155137084
329	0.4153108577
330	0.4150807975
331	0.4149353639
332	0.4147880951
333	0.4144710543
334	0.4143457905
335	0.4140960703
336	0.4139423838
337	0.4136089792
338	0.4134319344
339	0.4132753057
340	0.4129984116
341	0.4128163367
342	0.4124871269
343	0.4122594143
344	0.4121966917
345	0.4119074224
346	0.4115622479
347	0.4114101926
348	0.4111616398
349	0.4109024091
350	0.4108355981
351	0.4106721458
352	0.4104911207
353	0.4100636428
354	0.4099388747
355	0.4097591642
356	0.4095535937
357	0.4094737625
358	0.4092577212
359	0.4091213879
360	0.4090757718
361	0.4088251466
362	0.4085471972
363	0.4083022831
364	0.4080432552
365	0.4079260797
366	0.4077971217
367	0.407592396
368	0.4075422094
369	0.4072378689
370	0.4070390474
371	0.4067628411
372	0.40666963
373	0.4063596795
374	0.4059699493
375	0.4058627962
376	0.405703471
377	0.4055201151
378	0.4051318183
379	0.4049984101
380	0.4049326598
381	0.4047688783
382	0.4045236004
383	0.4042535076
384	0.4040137898
385	0.4036074284
386	0.4034481392
387	0.4034148743
388	0.4031471992
389	0.4030718344
390	0.4029181276
391	0.4027345644
392	0.402511968
393	0.4023691398
394	0.4022840899
395	0.4022113708
396	0.4021664506
397	0.4020763675
398	0.4019362507
399	0.401850084
400	0.4015637539
401	0.4015265518
402	0.4013207945
403	0.4012435656
404	0.4011408748
405	0.4010004122
406	0.400813401
407	0.4006727664
408	0.4006147429
409	0.4004773534
410	0.4003564963
411	0.4002190181
412	0.4001876772
413	0.4000574071
414	0.4000284185
415	0.3996693962
416	0.3996330867
417	0.3995217898
418	0.3994056864
419	0.3993689518
420	0.3993203684
421	0.3992112012
422	0.3990590281
423	0.398793786
424	0.3986877469
425	0.398376757
426	0.398257408
427	0.3981142991
428	0.3978271789
429	0.3977241431
430	0.3974924454
431	0.3972122706
432	0.3970848094
433	0.3968267841
434	0.3965634542
435	0.3965147387
436	0.3962988328
437	0.3961924919
438	0.3959387602
439	0.3958173075
440	0.3957309652
441	0.3955084201
442	0.3954131542
443	0.395243073
444	0.3951317367
445	0.394869595
446	0.3946669978
447	0.3945922949
448	0.3944939648
449	0.3944222274
450	0.3941716338
451	0.3938711797
452	0.3936705494
453	0.3933754923
454	0.3932598636
455	0.3930031903
456	0.3927494185
457	0.3926701152
458	0.3926007845
459	0.3923575251
460	0.3923022974
461	0.3921937251
462	0.3921500309
463	0.3920380691
464	0.3918686453
465	0.3917546946
