iter	Passed	Remaining
0	7	4219
1	13	3938
2	19	3820
3	25	3735
4	31	3769
5	37	3749
6	43	3715
7	49	3692
8	55	3650
9	62	3671
10	68	3655
11	74	3655
12	82	3707
13	88	3686
14	94	3670
15	101	3709
16	109	3754
17	115	3735
18	121	3718
19	127	3703
20	133	3681
21	140	3694
22	147	3688
23	153	3679
24	159	3675
25	166	3670
26	172	3652
27	177	3635
28	185	3660
29	194	3693
30	216	3974
31	222	3952
32	229	3934
33	235	3914
34	241	3891
35	248	3892
36	254	3872
37	260	3858
38	266	3838
39	272	3816
40	278	3797
41	284	3782
42	290	3764
43	299	3790
44	306	3784
45	315	3795
46	321	3780
47	327	3763
48	333	3749
49	340	3743
50	346	3727
51	352	3715
52	360	3717
53	366	3703
54	372	3689
55	378	3676
56	384	3665
57	390	3650
58	397	3645
59	404	3644
60	412	3645
61	420	3649
62	426	3636
63	432	3623
64	438	3611
65	444	3599
66	450	3587
67	457	3576
68	463	3564
69	469	3557
70	475	3542
71	481	3531
72	487	3520
73	495	3518
74	502	3518
75	510	3518
76	518	3524
77	526	3524
78	533	3521
79	541	3522
80	550	3524
81	558	3529
82	566	3529
83	574	3527
84	582	3528
85	590	3528
86	598	3529
87	606	3529
88	614	3530
89	622	3529
90	630	3526
91	639	3530
92	647	3527
93	654	3525
94	662	3520
95	671	3523
96	679	3523
97	687	3523
98	695	3520
99	703	3519
100	711	3516
101	720	3515
102	728	3514
103	735	3509
104	743	3505
105	751	3502
106	759	3500
107	785	3577
108	793	3573
109	802	3573
110	810	3568
111	818	3566
112	825	3556
113	831	3545
114	837	3532
115	845	3526
116	851	3515
117	857	3504
118	863	3491
119	869	3478
120	875	3466
121	882	3457
122	889	3450
123	895	3439
124	902	3428
125	908	3416
126	914	3404
127	920	3392
128	926	3381
129	931	3368
130	939	3364
131	946	3354
132	954	3350
133	960	3339
134	966	3328
135	972	3316
136	978	3305
137	984	3296
138	990	3286
139	997	3276
140	1003	3265
141	1009	3255
142	1015	3245
143	1021	3234
144	1028	3227
145	1034	3216
146	1040	3207
147	1047	3198
148	1055	3193
149	1061	3183
150	1067	3174
151	1073	3164
152	1079	3154
153	1085	3144
154	1091	3134
155	1098	3125
156	1107	3123
157	1112	3113
158	1119	3104
159	1125	3093
160	1130	3083
161	1137	3075
162	1143	3065
163	1150	3059
164	1159	3055
165	1165	3047
166	1172	3039
167	1178	3030
168	1184	3020
169	1190	3010
170	1197	3003
171	1203	2994
172	1209	2984
173	1215	2976
174	1221	2967
175	1228	2959
176	1234	2950
177	1240	2940
178	1246	2932
179	1252	2922
180	1259	2914
181	1267	2910
182	1275	2906
183	1281	2896
184	1286	2886
185	1294	2880
186	1301	2874
187	1308	2867
188	1314	2857
189	1320	2849
190	1327	2841
191	1333	2833
192	1340	2826
193	1346	2817
194	1352	2809
195	1358	2800
196	1364	2791
197	1371	2784
198	1379	2778
199	1384	2769
200	1390	2760
201	1397	2754
202	1404	2745
203	1410	2737
204	1416	2729
205	1422	2721
206	1429	2714
207	1438	2710
208	1444	2701
209	1451	2695
210	1459	2691
211	1467	2686
212	1473	2677
213	1481	2672
214	1489	2666
215	1497	2662
216	1505	2657
217	1513	2652
218	1521	2647
219	1529	2641
220	1537	2636
221	1545	2631
222	1553	2626
223	1561	2621
224	1570	2617
225	1579	2613
226	1587	2607
227	1594	2601
228	1602	2596
229	1611	2592
230	1619	2587
231	1627	2582
232	1636	2576
233	1644	2571
234	1651	2565
235	1659	2560
236	1667	2554
237	1675	2548
238	1683	2543
239	1692	2538
240	1699	2531
241	1706	2524
242	1714	2518
243	1720	2509
244	1726	2501
245	1732	2493
246	1739	2485
247	1746	2478
248	1752	2470
249	1758	2462
250	1764	2453
251	1772	2447
252	1778	2438
253	1784	2430
254	1790	2422
255	1798	2416
256	1804	2408
257	1813	2403
258	1819	2396
259	1826	2388
260	1834	2382
261	1842	2376
262	1848	2368
263	1854	2360
264	1860	2351
265	1866	2343
266	1872	2335
267	1878	2327
268	1885	2319
269	1891	2312
270	1899	2305
271	1905	2298
272	1912	2291
273	1919	2284
274	1925	2275
275	1932	2268
276	1938	2260
277	1944	2252
278	1950	2244
279	1957	2236
280	1963	2228
281	1973	2225
282	1980	2217
283	1986	2210
284	1992	2202
285	1999	2195
286	2006	2188
287	2012	2180
288	2020	2173
289	2027	2167
290	2034	2160
291	2040	2152
292	2046	2144
293	2052	2136
294	2058	2128
295	2064	2120
296	2070	2112
297	2076	2104
298	2084	2098
299	2090	2090
300	2098	2084
301	2104	2077
302	2111	2069
303	2117	2061
304	2123	2053
305	2129	2046
306	2136	2038
307	2143	2032
308	2149	2024
309	2156	2017
310	2162	2009
311	2171	2004
312	2178	1997
313	2184	1989
314	2192	1983
315	2199	1976
316	2205	1968
317	2211	1960
318	2217	1953
319	2223	1945
320	2229	1937
321	2236	1930
322	2244	1924
323	2249	1916
324	2255	1908
325	2262	1901
326	2268	1893
327	2274	1886
328	2282	1879
329	2288	1872
330	2295	1865
331	2303	1859
332	2311	1853
333	2318	1846
334	2325	1839
335	2331	1831
336	2337	1824
337	2344	1817
338	2351	1810
339	2357	1802
340	2363	1795
341	2369	1787
342	2375	1780
343	2382	1772
344	2388	1765
345	2394	1757
346	2402	1751
347	2409	1744
348	2415	1737
349	2421	1729
350	2427	1722
351	2433	1714
352	2439	1707
353	2445	1699
354	2452	1692
355	2460	1686
356	2468	1680
357	2476	1673
358	2483	1667
359	2490	1660
360	2496	1652
361	2502	1645
362	2509	1638
363	2515	1631
364	2521	1623
365	2527	1616
366	2534	1608
367	2540	1601
368	2546	1594
369	2552	1586
370	2560	1580
371	2568	1574
372	2575	1567
373	2582	1560
374	2588	1553
375	2604	1551
376	2610	1544
377	2616	1536
378	2622	1529
379	2628	1521
380	2634	1514
381	2640	1507
382	2647	1499
383	2653	1492
384	2659	1485
385	2666	1478
386	2673	1471
387	2679	1464
388	2687	1457
389	2694	1450
390	2702	1444
391	2710	1437
392	2718	1431
393	2726	1425
394	2734	1419
395	2742	1412
396	2750	1406
397	2759	1400
398	2767	1394
399	2775	1387
400	2783	1381
401	2792	1375
402	2800	1369
403	2808	1362
404	2816	1356
405	2824	1349
406	2832	1343
407	2840	1336
408	2847	1329
409	2856	1323
410	2865	1317
411	2873	1311
412	2881	1304
413	2888	1297
414	2896	1291
415	2905	1284
416	2913	1278
417	2921	1271
418	2929	1265
419	2937	1258
420	2945	1252
421	2952	1245
422	2959	1238
423	2965	1230
424	2971	1223
425	2978	1216
426	2984	1209
427	2990	1201
428	2996	1194
429	3004	1187
430	3012	1181
431	3019	1174
432	3025	1166
433	3031	1159
434	3037	1152
435	3043	1144
436	3049	1137
437	3056	1130
438	3063	1123
439	3069	1116
440	3075	1108
441	3082	1101
442	3088	1094
443	3094	1087
444	3100	1079
445	3107	1072
446	3113	1065
447	3119	1058
448	3125	1051
449	3131	1043
450	3138	1036
451	3144	1029
452	3151	1022
453	3157	1015
454	3164	1008
455	3170	1001
456	3177	994
457	3183	987
458	3190	980
459	3196	972
460	3203	965
461	3209	958
462	3214	951
463	3220	944
464	3227	936
465	3233	929
466	3239	922
467	3246	915
468	3252	908
469	3258	901
470	3264	894
471	3271	887
472	3277	879
473	3283	872
474	3289	865
475	3297	858
476	3304	852
477	3311	845
478	3317	838
479	3323	830
480	3331	824
481	3339	817
482	3346	810
483	3352	803
484	3358	796
485	3364	789
486	3371	782
487	3379	775
488	3385	768
489	3391	761
490	3399	754
491	3406	747
492	3413	740
493	3419	733
494	3427	727
495	3433	719
496	3440	713
497	3447	706
498	3455	699
499	3461	692
500	3468	685
501	3475	678
502	3481	671
503	3488	664
504	3495	657
505	3502	650
506	3508	643
507	3514	636
508	3520	629
509	3526	622
510	3532	615
511	3539	608
512	3546	601
513	3553	594
514	3560	587
515	3567	580
516	3573	573
517	3579	566
518	3585	559
519	3592	552
520	3599	545
521	3606	538
522	3615	532
523	3622	525
524	3630	518
525	3636	511
526	3642	504
527	3649	497
528	3655	490
529	3661	483
530	3668	476
531	3675	469
532	3681	462
533	3687	455
534	3693	448
535	3701	442
536	3709	435
537	3716	428
538	3722	421
539	3729	414
540	3735	407
541	3741	400
542	3748	393
543	3754	386
544	3761	379
545	3767	372
546	3773	365
547	3779	358
548	3785	351
549	3790	344
550	3796	337
551	3805	330
552	3812	323
553	3818	317
554	3824	310
555	3830	303
556	3835	296
557	3841	289
558	3848	282
559	3856	275
560	3864	268
561	3870	261
562	3876	254
563	3884	247
564	3890	241
565	3897	234
566	3904	227
567	3908	220
568	3916	213
569	3922	206
570	3929	199
571	3935	192
572	3941	185
573	3948	178
574	3954	171
575	3961	165
576	3967	158
577	3973	151
578	3980	144
579	3987	137
580	3994	130
581	4001	123
582	4009	116
583	4015	110
584	4021	103
585	4028	96
586	4034	89
587	4040	82
588	4046	75
589	4052	68
590	4057	61
591	4065	54
592	4072	48
593	4077	41
594	4084	34
595	4089	27
596	4095	20
597	4102	13
598	4107	6
599	4112	0
